u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
1386,27,吉祥寺東急REIホテル,東京都武蔵野市吉祥寺南町１丁目６-３,1982年11月,1982,東京都,13_東京都,234,賃貸,東急ホテルズ,東京都/武蔵野市/吉祥寺南町/一丁目/６番,139.58031,35.7015,5,7,76,795,2,117,1664,3,30,388,0,2018,894000,中規模以上の一般住宅が多く環境の良い住宅地域,吉祥寺,280,1低専
187,157,アパホテル飯田橋駅前,東京都千代田区飯田橋３丁目４-６,2017年2月,2017,東京都,13_東京都,163,直営,アパホテルズ＆リゾーツ,東京都/千代田区/飯田橋/三丁目/４番,139.74782,35.70088,5,7,57,648,2,95,1461,1,15,154,1,2018,3770000,中高層の店舗、事務所ビルが集まる商業地域,飯田橋,120,商業
199,169,アパホテル飯田橋駅南,東京都千代田区飯田橋３丁目１-４,2017年10月,2017,東京都,13_東京都,107,直営,アパホテルズ＆リゾーツ,東京都/千代田区/飯田橋/三丁目/１番,139.74821,35.70044,5,7,57,648,2,95,1461,1,15,154,1,2018,3770000,中高層の店舗、事務所ビルが集まる商業地域,飯田橋,120,商業
181,151,アパホテル御茶ノ水駅北,東京都文京区湯島３丁目１-６,2016年11月,2016,東京都,13_東京都,187,直営,アパホテルズ＆リゾーツ,東京都/文京区/湯島/三丁目/１番,139.76733,35.70308,5,7,54,802,2,91,1431,1,13,133,0,2018,956000,中低層の店舗、事務所ビル等が建ち並ぶ商業地域,末広町,300,商業
197,167,アパホテル秋葉原駅電気街口,東京都千代田区外神田３丁目１１-４,2017年8月,2017,東京都,13_東京都,117,FC,アパホテルズ＆リゾーツ,東京都/千代田区/外神田/三丁目/１１番,139.77063,35.70037,5,7,49,637,1,90,1431,1,14,133,0,2018,956000,中低層の店舗、事務所ビル等が建ち並ぶ商業地域,末広町,300,商業
1037,117,スーパーホテル東京・錦糸町駅前,東京都墨田区錦糸１丁目４-１２,2016年12月,2016,東京都,13_東京都,113,FC,スーパーホテル,東京都/墨田区/錦糸/一丁目/４番,139.81134,35.69786,5,7,59,737,1,85,1327,1,15,154,0,2018,740000,店舗、事務所、マンションが建ち並ぶ商業地域,錦糸町,200,商業
162,132,アパホテル浅草橋駅北,東京都台東区浅草橋３丁目１-１０,2015年6月,2015,東京都,13_東京都,161,所有直営,アパホテルズ＆リゾーツ,東京都/台東区/浅草橋/三丁目/１番,139.78777,35.70013,5,7,49,604,0,79,1276,1,21,154,1,2018,842000,中高層の事務所、共同住宅等が建ち並ぶ商業地域,蔵前,320,商業
2308,66,MyCube by MYSTAYS 浅草蔵前,東京都台東区蔵前２丁目６-７,2016年6月,2016,東京都,13_東京都,34,賃貸,ホテルマイステイズマネジメント,東京都/台東区/蔵前/二丁目/６番,139.79175,35.70364,5,7,52,604,0,76,1276,1,28,307,1,2018,1070000,中高層の店舗、事務所ビルの建ち並ぶ商業地域,蔵前,0,商業
543,26,ドーミーイン秋葉原,東京都千代田区外神田４丁目１２-５,2005年9月,2005,東京都,13_東京都,105,賃貸,共立メンテナンス,東京都/千代田区/外神田/四丁目/１２番,139.7733,35.70253,5,7,50,637,1,88,1431,1,15,133,0,2018,941000,中高層の事務所ビル、店舗等が混在する商業地域,末広町,140,商業
1030,110,スーパーホテル秋葉原・末広町,東京都台東区上野３丁目２-５,2015年4月,2015,東京都,13_東京都,106,賃貸,スーパーホテル,東京都/台東区/上野/三丁目/２番,139.77324,35.70326,5,7,51,802,2,88,1431,1,14,133,0,2018,941000,中高層の事務所ビル、店舗等が混在する商業地域,末広町,140,商業
