u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,L01_005,L01_006,L01_044,L01_045,L01_046,L01_047
2332,10,東京マリオットホテル,東京都品川区北品川4-7-36,2013年9月,2013,東京都,13_東京都,149,FC,マリオットインターナショナル,東京都/品川区/北品川/四丁目/７番,139.735629999999986,35.622700000000002,5,7,38m,407,0,1h42m,"1,502",0,2018,751000,中規模一般住宅が多い区画整然とした住宅地域,北品川,650,1低専
2424,14,東京マリオットホテル,東京都品川区北品川4-7-36,2013年12月,2013,東京都,13_東京都,249,直営,森トラストグループ,東京都/品川区/北品川/四丁目/７番,139.735629999999986,35.622700000000002,5,7,38m,407,0,1h42m,"1,502",0,2018,751000,中規模一般住宅が多い区画整然とした住宅地域,北品川,650,1低専
2291,49,フレックステイイン品川,東京都品川区北品川１丁目２２-１９,1986年12月,1986,東京都,13_東京都,55,賃貸,ホテルマイステイズマネジメント,東京都/品川区/北品川/一丁目/２２番,139.740420000000000,35.622180000000000,5,7,37m,407,0,1h39m,"1,502",1,2018,770000,中低層の店舗併用住宅等が建ち並ぶ近隣商業地域,北品川,130,近商
1687,9,ニューオータ二イン東京,東京都品川区大崎１丁目６-２,1987年2月,1987,東京都,13_東京都,412,MC,二ューオータ二ホテルズ,東京都/品川区/大崎/一丁目/６番,139.729479999999995,35.620120000000000,5,7,42m,540,1,1h42m,"1,483",1,2018,2720000,大型の再開発ビルが建ち並ぶ大崎駅前の商業地域,大崎,180,準工
711,3,京王プラザホテル多摩,東京都多摩市落合１-４３,1990年4月,1990,東京都,13_東京都,248,直営,京王プラザホテル,東京都/多摩市/落合/一丁目/４３番,139.424740000000014,35.623370000000001,5,7,1h41m,920,3,2h12m,"1,688",2,2018,414000,店舗ビル、駐車場等が混在する駅前の商業地域,京王多摩センター,0,商業
2253,11,ホテルマイステイズ五反田駅前,東京都品川区西五反田２丁目６-８,2015年8月,2015,東京都,13_東京都,383,賃貸,ホテルマイステイズマネジメント,東京都/品川区/西五反田/二丁目/６番,139.722469999999987,35.626609999999999,5,7,39m,562,1,1h38m,"1,369",1,2018,4660000,中高層の店舗、事務所が建ち並ぶ商業地域,五反田,70,商業
2252,10,ホテルマイステイズ五反田,東京都品川区東五反田２丁目５-４,1988年7月,1988,東京都,13_東京都,110,賃貸,ホテルマイステイズマネジメント,東京都/品川区/東五反田/二丁目/５番,139.728350000000006,35.625129999999999,5,7,42m,407,0,1h43m,"1,369",1,2018,1810000,中高層の店舗、事務所ビルが建ち並ぶ商業地域,五反田,400,商業
546,29,global cabin東京五反田,東京都品川区東五反田１丁目１７-１,2016年7月,2016,東京都,13_東京都,90,賃貸,共立メンテナンス,東京都/品川区/東五反田/一丁目/１７番,139.725650000000002,35.626669999999997,5,7,41m,562,1,1h40m,"1,369",1,2018,1520000,中高層の店舗付事務所等が多い商業地域,五反田,300,商業
817,36,ホテルサンルート五反田,東京都品川区東五反田１-２０-３,2003年12月,2003,東京都,13_東京都,151,FC,サンルートホテルチェーン,東京都/品川区/東五反田/一丁目/２０番,139.726210000000009,35.626179999999998,5,7,42m,562,1,1h41m,"1,369",1,2018,1520000,中高層の店舗付事務所等が多い商業地域,五反田,300,商業
1326,9,東急ステイ五反田,東京都品川区東五反田１丁目１２-２,2005年3月,2005,東京都,13_東京都,168,賃貸,東急ステイ,東京都/品川区/東五反田/一丁目/１２番,139.724899999999991,35.626970000000000,5,7,41m,562,1,1h40m,"1,369",1,2018,1520000,中高層の店舗付事務所等が多い商業地域,五反田,300,商業
